Categoría,Código,Producto,Precio (Miles de Pesos)
SMARTWATCH,45527,XIAOMI SMART BAND 9 ACTIVE NEGRO,105
SMARTWATCH,45551,XIAOMI SMART BAND 9 ACTIVE BEIGE WHITE,105
SMARTWATCH,45506,XIAOMI SMART BAND 9 NEGRA,145
SMARTWATCH,45507,XIAOMI SMART BAND 9 GLACIER SILVER,145
SMARTWATCH,45508,XIAOMI SMART BAND 9 ARCTIC BLUE,145
SMARTWATCH,45596,XIAOMI SMART BAND 10 GLACIER SILVER,189
SMARTWATCH,45559,XIAOMI SMART BAND 10 MIDNIGHT NEGRO,189
SMARTWATCH,45503,XIAOMI REDMI WATCH 5 LITE NEGRO,199
SMARTWATCH,45502,XIAOMI REDMI WATCH 5 LITE LIGHT GOLD,199
SMARTWATCH,45573,XIAOMI REDMI WATCH 5 GRIS,449
SMARTWATCH,45572,XIAOMI REDMI WATCH 5 NEGRO,449
CONSOLAS,45586,PORTABLE ASUS ROG XBOX ALLY RC73YA-NH002W BLANCO 512GB,2289
PORTATILES,52355,ASUS VIVOBOOK GO E1504FA-BQ2676/RYZ 3 7320U+8GB D5 NO EXP+NvMe 512GB+AMD GRAPHICS+15.6" FHD GRIS,1419
PORTATILES,52372,ASUS VIVOBOOK X1504VA-BQ2732/CORE i3 1315U+12GB D4+NvMe 512GB+INTEL GRAPHICS+15.6" FHD HUELLA GRIS,1699
PORTATILES,52356,ASUS VIVOBOOK X1504VA-BQ4375/CORE i3 1315U+8GB D4+NvMe 17B+INTEL GRAPHICS+15.6" FHD+ MORRAL+MOUSE GRIS,1739
PORTATILES,52365,ASUS VIVOBOOK GO E1504FA-BQ2334/RYZ 5 7520U+16GB D5+NvMe 512GB+AMD GRAPHICS+15.6" FHD+HILLA+MORRAL+MOUSE GRIS,2049
PORTATILES,52374,ASUS VIVOBOOK M1502YA-BQ295/RYZ 7 5825U+16GB D4+NvMe 512GB+AMD GRAPHICS+15.6" FHD+HUELLA GRIS,2149
PORTATILES,52378,ASUS VIVOBOOK M1502YA-BQ923/RYZ 7 5825U+16GB D4+NvMe 17B+AMD GRAPHICS+15.6" FHD HUELLA GRIS,2259
PORTATILES,52380,ASUS X1504VA-E84556/CORE 5 120U+16GB D5+NvMe 512GB+INTEL GRAPHICS+15.6" TOUCH FHD AZUL,2369
PORTATILES,52371,ASUS VIVOBOOK X1605VA-MB2667/CORE i5 13420H+16GB D4+NvMe 17B+INTEL GRAPHICS+16" AZUL,2409
PORTATILES,52368,ASUS VIVOBOOK X1502VA-NJ929/CORE i7 13620H+16GB+NvMe 512GB+INTEL GRAPHICS+15.6" FHD AZUL,2759
PORTATILES,52360,ASUS TUF F16 FX607VJ-RL016/CORE i5 210H+16GB D4+NvMe 512GB+6GB RTX-3050+15.6" GRIS,3099
PORTATILES,52353,ASUS TUF A15 FA506NC-HN006/RYZ 5 7535HS+16GB D5+NvMe 512GB+4GB RTX-3050+15.6" FHD NEGRO,3169
PORTATILES,52366,ASUS ZENBOOK UM3406KA-QD227/RYZ AZI 7 350+16GB D5+NvMe 17B+AMD GRAPHICS+14" OLED WUXGA NEGRO,4439
PORTATILES,52369,ASUS 16 GAMER V3607VU-RP273/CORE 5 210H+32GB D5+NvMe 17B+6GB RTX-4050+16" WUXGA WV NEGRO MATE,4989
PORTATILES,52321,ASUS ZENBOOK UX3405CA-PZ332W/ULTRA 7 255H+16GB D5+NvMe 17B+INTEL GRAPHICS+OLED 14" 3K TOUCH+ LAPIZ W11H AZUL,5299
PORTATILES,52376,ASUS TUF GAMING F16 FX608HR-RV006/CORE i7 14650HX+16GB D5+NvMe 17B+8GB RTX-5050+16" 165Hz WUXGA GRIS,6349
PORTATILES,52379,ASUS ROG G614PM-RV015W/RYZ 9 8940HX+32GB D5+NvMe 17B+8GB RTX-5060+16" WUXGA WINDOWS 11 HOME GRIS,7719
PORTATILES,52375,ASUS ROG G615LW-S5129W/ULTRA 9 275HX+32GB D5+NvMe 17B+16GB RTX-5080+16" 2.5K 240Hz WUXGA+MORRAL+MSE W11H GRIS,14439
